date,date_next,expiry,cp,strike,S_i,S_ip1,T_i,T_ip1,V_i_mkt,V_ip1_mkt,r,q,kappa_i,theta_i,sigma_i,rho_i,v0_i,kappa_ip1,theta_ip1,sigma_ip1,rho_ip1,v0_ip1,Delta_i,TH,UM_raw,UM_delta_hedged,SM,ME,TC,cash_pnl,PnL_total
2017-01-03,2017-01-04,2017-01-11,C,2260.0,2257.83,2270.75,0.021917808219178082,0.019178082191780823,11.4,16.75,0.03106557987748026,0.045026912592139215,2.7916818137327946,0.0497574203909204,0.8169503260894337,-0.815963309870299,0.0114106857663086,2.9707627742137768,0.0473822990677669,0.8516947212623744,-0.7938080672156256,0.0089002874630887,0.5612273857678304,-0.8642397671533217,8.067838297293747,0.8167804731733375,-1.3861532518662898,-0.46744527827413584,0.0,0.0,-1.90105782412041
2017-01-03,2017-01-04,2017-01-11,C,2350.0,2257.83,2270.75,0.021917808219178082,0.019178082191780823,0.25,0.25,0.03106557987748026,0.045026912592139215,2.7916818137327946,0.0497574203909204,0.8169503260894337,-0.815963309870299,0.0114106857663086,2.9707627742137768,0.0473822990677669,0.8516947212623744,-0.7938080672156256,0.0089002874630887,0.00010071548497318181,-0.0004449159429718713,0.001645436279081855,0.0003441922132283385,-0.0011146552429113776,-8.586509319860602e-05,0.0,0.0,-0.0013012440658535164
2017-01-03,2017-01-04,2017-01-11,C,2475.0,2257.83,2270.75,0.021917808219178082,0.019178082191780823,0.05,0.05,0.03106557987748026,0.045026912592139215,2.7916818137327946,0.0497574203909204,0.8169503260894337,-0.815963309870299,0.0114106857663086,2.9707627742137768,0.0473822990677669,0.8516947212623744,-0.7938080672156256,0.0089002874630887,7.14236275050001e-08,-6.465168015168112e-08,2.0629759503922624e-08,-9.021635078606839e-07,-1.8430886581126352e-06,1.8871105787604536e-06,0.0,0.0,-9.227932673645466e-07
2017-01-03,2017-01-04,2017-01-11,P,1950.0,2257.83,2270.75,0.021917808219178082,0.019178082191780823,0.075,0.05,0.03106557987748026,0.045026912592139215,2.7916818137327946,0.0497574203909204,0.8169503260894337,-0.815963309870299,0.0114106857663086,2.9707627742137768,0.0473822990677669,0.8516947212623744,-0.7938080672156256,0.0089002874630887,-4.845921913488523e-06,-6.005181853652175e-05,-1.2787194464181084e-05,4.982211665809098e-05,6.665516139037209e-07,-0.024927827538613195,0.0,0.0,-0.024937390688877722
2017-01-03,2017-01-04,2017-01-11,P,2085.0,2257.83,2270.75,0.021917808219178082,0.019178082191780823,0.325,0.15000000000000002,0.03106557987748026,0.045026912592139215,2.7916818137327946,0.0497574203909204,0.8169503260894337,-0.815963309870299,0.0114106857663086,2.9707627742137768,0.0473822990677669,0.8516947212623744,-0.7938080672156256,0.0089002874630887,-0.0011350021976768146,-0.016363971785722242,-0.00588268576984774,0.008781542624136787,-0.0031796558319001633,-0.14957368661252984,0.0,0.0,-0.16033577160601548
2017-01-03,2017-01-04,2017-01-11,P,2170.0,2257.83,2270.75,0.021917808219178082,0.019178082191780823,0.925,0.4,0.03106557987748026,0.045026912592139215,2.7916818137327946,0.0497574203909204,0.8169503260894337,-0.815963309870299,0.0114106857663086,2.9707627742137768,0.0473822990677669,0.8516947212623744,-0.7938080672156256,0.0089002874630887,-0.027931849139141547,-0.2521726887789555,-0.22056849537966627,0.14031099549804454,-0.10389988053248089,0.051641064691102634,0.0,0.0,-0.1641205091222892
2017-01-03,2017-01-04,2017-01-25,C,2260.0,2257.83,2270.75,0.06027397260273973,0.057534246575342465,21.200000000000003,25.95,0.010886066206101514,0.014887923360942955,2.7916818137327946,0.0497574203909204,0.8169503260894337,-0.815963309870299,0.0114106857663086,2.9707627742137768,0.0473822990677669,0.8516947212623744,-0.7938080672156256,0.0089002874630887,0.616364417083949,-0.5741874294908484,8.44041249986185,0.4769842311371848,-2.3388299649941473,-0.7773951053768577,0.0,0.0,-3.2134282687246687
2017-01-03,2017-01-04,2017-01-25,C,2350.0,2257.83,2270.75,0.06027397260273973,0.057534246575342465,0.675,0.875,0.010886066206101514,0.014887923360942955,2.7916818137327946,0.0497574203909204,0.8169503260894337,-0.815963309870299,0.0114106857663086,2.9707627742137768,0.0473822990677669,0.8516947212623744,-0.7938080672156256,0.0089002874630887,0.015450149891071881,-0.03911962179836337,0.2727208667784069,0.07310493018575706,-0.1583162939386611,0.12471504895861751,0.0,0.0,0.0003840634073501159
2017-01-03,2017-01-04,2017-01-25,C,2450.0,2257.83,2270.75,0.06027397260273973,0.057534246575342465,0.15,0.175,0.010886066206101514,0.014887923360942955,2.7916818137327946,0.0497574203909204,0.8169503260894337,-0.815963309870299,0.0114106857663086,2.9707627742137768,0.0473822990677669,0.8516947212623744,-0.7938080672156256,0.0089002874630887,2.6332265087373552e-05,-0.00013367926496354182,0.0003796137390629853,3.940087413411707e-05,-3.826576715837415e-05,0.02479233129305894,0.0,0.0,0.02465978713507114
2017-01-03,2017-01-04,2017-01-25,C,2500.0,2257.83,2270.75,0.06027397260273973,0.057534246575342465,0.1,0.1,0.010886066206101514,0.014887923360942955,2.7916818137327946,0.0497574203909204,0.8169503260894337,-0.815963309870299,0.0114106857663086,2.9707627742137768,0.0473822990677669,0.8516947212623744,-0.7938080672156256,0.0089002874630887,1.5087214634111103e-06,-7.034617517213959e-06,1.359488940265224e-05,-5.897791904619416e-06,1.202797779297415e-05,-1.858824967840289e-05,0.0,0.0,-1.9492681307262115e-05
