quote_date,success,message,kappa,theta,sigma,rho,v0,rmse_price,mae_price,n_points
2017-01-03,True,`ftol` termination condition is satisfied.,2.8915285955382988,0.04996837200096217,0.8752727300796109,-0.8060793561503271,0.011575409405833962,0.6486492946286707,0.49217069778235756,59
2017-01-04,True,`ftol` termination condition is satisfied.,2.9728153800585413,0.04806402539761415,0.8925817344812493,-0.79034982141754,0.009109550775814209,0.7384511239744315,0.5558923197789167,59
2017-01-05,True,`ftol` termination condition is satisfied.,2.963621924031782,0.04723637306783212,0.8804805013705734,-0.7861154799079894,0.008780340433333603,0.7467942617980927,0.5569770980453191,59
2017-01-06,True,`ftol` termination condition is satisfied.,3.2789806818420275,0.04501209109585327,0.9252369645463199,-0.775782245087143,0.00816079291937482,0.8719840778429502,0.6262574515644603,59
2017-01-09,True,`ftol` termination condition is satisfied.,4.12125608445236,0.0411363938609811,1.0233426067452638,-0.7662732934409843,0.008343807224507782,1.0154179002879427,0.7267743323749193,59
2017-01-10,True,`ftol` termination condition is satisfied.,3.9471186711208466,0.04176526893771742,1.001398537380441,-0.7610268743063667,0.008808345639496047,1.0556568071926034,0.7137851739414877,59
2017-01-11,True,`ftol` termination condition is satisfied.,3.453584199557578,0.04284002533256473,0.9308652387290909,-0.7615360264640159,0.009304326770620049,1.0630102421390453,0.6996804086521354,59
2017-01-12,True,`ftol` termination condition is satisfied.,3.464193044763244,0.043976661876902565,0.9343186622452064,-0.7805478093859828,0.00894908307660216,0.8590263060026233,0.5974645265333588,59
2017-01-13,True,`xtol` termination condition is satisfied.,3.593040449885424,0.04459895063361932,1.0154895775999428,-0.7766475251758848,0.007745905131054431,0.9063654467356544,0.6112517116467879,59
2017-01-17,True,`ftol` termination condition is satisfied.,3.7031368707742685,0.0450781127826068,1.049570420773474,-0.7761040555030927,0.00858075777590214,0.7391830136848863,0.5231171737787277,59
2017-01-18,True,`xtol` termination condition is satisfied.,3.9833226289435593,0.044324309523586757,1.127740759599151,-0.7792175224152619,0.008149069881905922,0.6418376591998094,0.4810709358984875,59
2017-01-19,True,`ftol` termination condition is satisfied.,3.4741239530182075,0.044891497499229244,1.011735657174461,-0.7863444558611216,0.009754352831000065,0.5749201931356183,0.44882795247691215,59
2017-01-20,True,`ftol` termination condition is satisfied.,3.699591876682992,0.044560767527435076,1.0513938843603277,-0.7855785444331003,0.006672078931608997,0.6395034741671329,0.47133437837655096,59
2017-01-23,True,`ftol` termination condition is satisfied.,3.5569822407029155,0.04372900041971038,0.9876694513289814,-0.7884359067302766,0.00779422577500885,0.6357791064269392,0.4718664669537755,59
2017-01-24,True,`ftol` termination condition is satisfied.,3.4677115283501805,0.04133206863612906,0.9276560754351754,-0.7707097848009759,0.0063790900271766815,0.8057767956246588,0.5050706735998962,59
2017-01-25,True,`ftol` termination condition is satisfied.,2.6778331106302686,0.04384979183694686,0.8304614423162452,-0.7558725167169211,0.007143931692722889,0.7315198307188148,0.5600808996725951,59
2017-01-26,True,`ftol` termination condition is satisfied.,2.83396280477984,0.04367675897808626,0.84944769839618,-0.7567017230405965,0.0067050204630513515,0.714804720697069,0.5292481202676603,59
2017-01-27,True,`xtol` termination condition is satisfied.,3.0339384329103454,0.04388290556633111,0.9024331692812345,-0.7575364594866097,0.006413063237373281,0.7088559754242157,0.5345109058389552,59
2017-01-30,True,`ftol` termination condition is satisfied.,3.088742091286645,0.04397177886302457,0.8853381579889256,-0.7801753807493654,0.00840671327830035,0.649854489826128,0.510582716862364,59
2017-01-31,True,Both `ftol` and `xtol` termination conditions are satisfied.,3.290052910000381,0.042872404237101196,0.895440290027465,-0.7876751067887384,0.00826823222964236,0.5905753059209141,0.46925344851101014,59
2017-02-01,True,`ftol` termination condition is satisfied.,3.3044880716750122,0.04260818029915944,0.9106372113604912,-0.7859984500322797,0.007860070223820471,0.6103807711125856,0.47002786620500214,59
2017-02-02,True,`xtol` termination condition is satisfied.,3.0558621713186596,0.043117587118591656,0.8620060249398317,-0.8059547261056641,0.009152499228478196,0.7113689590891675,0.5434958396257709,59
2017-02-03,True,`ftol` termination condition is satisfied.,3.8304913615353575,0.03954239779815833,0.9890189214114048,-0.7719363889643246,0.00636867378327992,0.724059882125843,0.5517065532198125,59
2017-02-06,True,`xtol` termination condition is satisfied.,4.079064190317285,0.03858545272204344,0.993622508628515,-0.7802795281340986,0.007168380995984989,0.7297432858460723,0.5487538183696807,59
2017-02-07,True,`ftol` termination condition is satisfied.,4.050390210215045,0.03835981604945007,0.9832323694425933,-0.780515568096693,0.0077662475386715705,0.7354626259003936,0.5363460763629486,59
2017-02-08,True,`ftol` termination condition is satisfied.,4.940908012870878,0.037159345415657366,1.1042331789369906,-0.7890577000789873,0.0070607014267367214,0.72363756107689,0.5335672684969766,59
2017-02-09,True,`xtol` termination condition is satisfied.,4.35704473004725,0.03744536271307816,0.9870367298078303,-0.7764241832748312,0.0066542648442326205,0.7712145105587299,0.575944379930165,59
2017-02-10,True,`ftol` termination condition is satisfied.,4.334219934900621,0.03713794021169754,0.9979130886528383,-0.7643250153804865,0.005893594640706516,0.7536717228287051,0.5641056087801245,59
2017-02-13,True,`xtol` termination condition is satisfied.,3.539978874894611,0.03823395826959836,0.8641377395286182,-0.7590994202098569,0.006101307658719442,0.6718303988179014,0.5132872091492151,59
2017-02-14,True,`ftol` termination condition is satisfied.,3.1864627044192493,0.03788488595286762,0.8025514948838685,-0.7493827350409691,0.005461780350007351,0.6767493043769872,0.5201116893092396,59
