method_key,n_obs,alpha_for_ES,tail_alpha,empirical_tail_quantile,n_tail,empirical_ES_tail,mean_pred_ES_all,mean_pred_ES_tail,bias_tail,rel_bias_tail
hist,61,0.95,0.95,76.99695768407605,4,92.90769947901532,83.52041975982887,76.00297759330877,-16.90472188570655,-0.18195178634817832
mc,81,0.95,0.95,82.85725422617834,5,93.92741118817035,15.2457471001448,18.102962277503458,-75.82444891066689,-0.8072664619571307
param,61,0.95,0.95,76.99695768407605,4,92.90769947901532,94.27256160771186,116.61049849071094,23.702799011695618,0.2551220097431135
