date,loss,VaR,ES,violation
2017-02-08,25.19767590525208,74.30023870389226,87.17986025407744,False
2017-02-09,29.323424372787684,63.49505637609428,74.48010396867063,False
2017-02-13,48.72976407137918,63.89579427471526,74.90986015920522,False
2017-02-14,-14.508099907137773,65.94785254125009,77.24520473206334,False
2017-02-15,2.532322458413097,66.46981173860219,78.23011795508835,False
2017-02-16,11.186147688388765,65.91803196534912,77.789923182033,False
2017-02-21,-35.604947592623176,66.01666824578672,77.79583589573676,False
2017-02-22,-21.16606177818023,68.02230528012572,80.84154577204919,False
2017-02-23,7.345602275808567,67.98696004630534,81.30489553783751,False
2017-02-27,-48.80969222190266,67.9373456224497,80.97960524931862,False
2017-02-28,27.13549388593976,61.76073694663448,74.8134863148031,False
2017-03-01,-1.325792851015675,51.295700875440374,62.397687641468366,False
2017-03-02,71.24019987525571,50.14161555858978,61.211620047609514,True
2017-03-06,11.512104754511965,59.71543881759221,72.24493961163189,False
2017-03-07,-9.728881643195718,59.743215261592695,72.27304225988371,False
2017-03-08,-19.17456834292127,59.65792726293765,72.3005338967763,False
2017-03-09,76.99695768407605,57.64677338077661,70.40392729346038,True
2017-03-13,-20.52364876014635,67.3165502571629,81.6309923870993,False
2017-03-14,57.583228589057285,60.49284791535663,74.13317786576324,False
2017-03-15,50.18221444062994,66.35837493756024,80.78634938345775,False
2017-03-16,6.556601744778913,70.71597603483244,85.52901864996791,False
2017-03-20,-121.58151630616663,69.604422536952,84.37186496379684,False
2017-03-21,24.65605011813311,79.37818021004966,98.54534854341384,False
2017-03-22,-12.98511300760526,76.64297823958574,95.42107965278446,False
2017-03-23,13.254723017005286,76.67067309428762,95.43646511212816,False
2017-03-27,85.00196469533061,77.30643793770025,96.09754375870367,True
2017-03-28,23.5091239373407,86.86246724229072,107.14358025548286,False
2017-03-29,22.242659200432342,88.26856648766976,108.15601748414647,False
2017-03-30,-13.514297132916564,89.60303249304827,109.27811337242501,False
2017-04-03,42.5564307376988,89.12244557059057,108.94040078371695,False
2017-04-04,-51.54467750033904,90.88480958145753,109.98994228996106,False
2017-04-05,41.90059320139681,90.7175457477341,110.77958358310566,False
2017-04-06,-20.825712218857028,93.45827679440137,113.66750858831413,False
2017-04-10,-28.83688822468913,86.58091060718036,106.21243672894924,False
2017-04-11,-10.787265779940684,85.81412529635237,105.76337061630365,False
2017-04-12,-66.74795345211629,85.79481922089076,105.75260363228604,False
2017-04-17,10.618964322591427,87.53392849535285,108.5377947793419,False
2017-04-18,-26.137887181064624,79.43387195081156,99.22313149911632,False
2017-04-19,72.71044352834369,79.40650739511678,99.26012739516449,False
2017-04-20,-29.81859780960862,81.89429900902998,102.18777230143019,False
2017-04-24,3.3293782114962847,76.43047346985973,96.35208633654094,False
2017-04-25,-0.4803126051694469,76.22800851429368,96.13917936285955,False
2017-04-26,6.972366838107585,67.21348440451835,83.29637288097726,False
2017-04-27,4.086267787468596,65.83610705846274,81.79370456949334,False
2017-05-01,7.99764059850084,66.38331545172235,82.26308499885329,False
2017-05-02,-15.71484423885552,66.0379758319847,81.89679073465564,False
2017-05-03,23.84012926895292,52.74884281567341,66.51098843816398,False
2017-05-04,-1.253701054343978,52.78721915828519,66.55490948463007,False
2017-05-08,0.0663650594228881,50.835772425294415,64.40616772469991,False
2017-05-09,-6.385632579245283,51.352337988184566,64.88145997619638,False
2017-05-10,-14.358368242229744,46.05293624830516,58.85745932653133,False
2017-05-11,7.180350907840586,44.70801697551796,56.698535160526376,False
2017-05-15,6.697451900020198,39.9529935081997,51.17656101186298,False
2017-05-16,-333.9887422930962,41.015340327203546,52.15918707830422,False
2017-05-17,83.0643092855596,111.42609992450372,144.3331643293865,False
2017-05-18,126.567566251095,121.36700703678385,155.6073585812932,True
2017-05-22,23.083663487289545,138.67763679189252,174.860089614861,False
2017-05-23,52.31173196117774,139.55350196484105,175.8001330543581,False
2017-05-24,24.28300422874984,144.58755655989316,181.1165721983248,False
2017-05-25,4.817878538032558,139.8010308178533,175.72920197810308,False
2017-05-30,3.937208802876539,141.12282957752217,176.94683783122753,False
