date,loss,VaR,ES,violation
2017-01-03,92.1459614826882,16.08741933548951,16.100548167977635,True
2017-01-04,23.59320841466756,14.495137300678117,14.49916015675108,True
2017-01-05,29.991064743778995,16.204212573598472,16.21301411370512,True
2017-01-09,11.499999999999986,18.71599833805901,18.71612210713091,False
2017-01-10,22.35274309086136,16.49357314261913,17.22683449367285,True
2017-01-11,1.91351329969304,16.575962066528387,16.576266108680677,False
2017-01-12,6.1648054419288,14.487157196687836,17.483751210280243,False
2017-01-17,18.801929743684568,15.175688335746411,15.179066998002607,True
2017-01-18,-13.365423040544956,15.90371037989886,15.903872992438618,False
2017-01-19,75.54831400673515,19.840446480145925,19.84362530890552,True
2017-01-23,82.85725422617834,17.452216817557392,17.47857047506732,True
2017-01-24,19.238023881886896,13.880142924911354,14.185495993257993,True
2017-01-25,-5.33354675543464,14.358922443373553,15.329074506961884,False
2017-01-26,10.982257169584184,16.686957901984684,16.690863217086374,False
2017-01-30,0.8557543344961318,13.598800805490804,13.599158607684227,False
2017-01-31,30.066547712912257,16.740120029322213,16.77825828702025,True
2017-02-01,6.203066430998309,14.316273021498876,14.316975559132832,False
2017-02-02,62.8791283723213,13.869108333561083,13.871834074221931,True
2017-02-06,2.282090615589037,13.03911438394266,13.054092868900916,False
2017-02-07,-6.654294323942185,13.020860464920196,13.251544635234549,False
2017-02-08,25.19767590525208,13.117536539693992,13.119015760775742,True
2017-02-09,29.323424372787684,13.601939352422884,13.60238448846471,True
2017-02-13,48.72976407137918,14.887187099967882,15.771462787080733,True
2017-02-14,-14.508099907137773,14.77066988406177,14.777046293228462,False
2017-02-15,2.532322458413097,19.97430440780905,19.980938354817997,False
2017-02-16,11.186147688388765,13.585701797369955,13.59574201723144,False
2017-02-21,-35.604947592623176,13.490213565676706,13.499985125242135,False
2017-02-22,-21.16606177818023,13.43501333957122,13.436416001685066,False
2017-02-23,7.345602275808567,13.998606276139826,13.998627445030271,False
2017-02-27,-48.80969222190266,15.864971629945936,15.890415199602042,False
2017-02-28,27.13549388593976,16.140793690199885,16.145222859199087,True
2017-03-01,-1.325792851015675,13.692172255210204,14.129447856550096,False
2017-03-02,71.24019987525571,15.56944272628665,15.569475198436088,True
2017-03-06,11.512104754511965,15.856843162690929,15.856858617653728,False
2017-03-07,-9.728881643195718,14.31965585186425,14.319864038585765,False
2017-03-08,-19.17456834292127,17.234459143550918,17.234522169559533,False
2017-03-09,76.99695768407605,18.04073788762248,18.040840286062643,True
2017-03-13,-20.52364876014635,16.527352177445664,32.54968937706535,False
2017-03-14,57.583228589057285,17.493889864860478,17.493922982526687,True
2017-03-15,50.18221444062994,14.287084259966026,14.351041584728124,True
2017-03-16,6.556601744778913,15.814619278581258,16.58849651124249,False
2017-03-20,-121.58151630616663,15.644197168647072,15.6443433197204,False
2017-03-21,24.65605011813311,18.526984575907704,18.573895946959183,True
2017-03-22,-12.98511300760526,13.931628106302986,13.959172967676164,False
2017-03-23,13.254723017005286,14.260870433358576,14.304845090040637,False
2017-03-27,85.00196469533061,16.292597730451746,16.460185942983674,True
2017-03-28,23.5091239373407,12.434179390277873,12.445993656077777,True
2017-03-29,22.242659200432342,13.876867511964807,13.88108990942651,True
2017-03-30,-13.514297132916564,13.741331145415035,13.756920121711994,False
2017-04-03,42.5564307376988,14.48226609856395,14.500688733253536,True
2017-04-04,-51.54467750033904,14.42755517179848,14.438663085841668,False
2017-04-05,41.90059320139681,13.242582857055348,13.263567961376452,True
2017-04-06,-20.825712218857028,13.82182011384372,13.849446534554843,False
2017-04-10,-28.83688822468913,14.579781709320836,14.619781308291486,False
2017-04-11,-10.787265779940684,16.82210193112853,16.885046442489255,False
2017-04-12,-66.74795345211629,23.857663630769657,23.93600647898799,False
2017-04-17,10.618964322591427,15.43131837494783,15.446302017889002,False
2017-04-18,-26.137887181064624,15.122365180764064,15.142191685316998,False
2017-04-19,72.71044352834369,15.732412587964893,15.769230765176596,True
2017-04-20,-29.81859780960862,15.244799286190904,15.25854264050367,False
2017-04-24,3.3293782114962847,12.976403373082128,12.97702919560716,False
2017-04-25,-0.4803126051694469,13.671622065573262,13.67787762693701,False
2017-04-26,6.972366838107585,12.28163798609578,12.282868364562171,False
2017-04-27,4.086267787468596,15.123384731902783,15.12353917898762,False
2017-05-01,7.99764059850084,16.711970790591387,16.843475051388847,False
2017-05-02,-15.71484423885552,11.516727298348147,11.542538856103963,False
2017-05-03,23.84012926895292,12.41327772974839,12.456642568758182,True
2017-05-04,-1.253701054343978,12.175841446024853,12.176587438711982,False
2017-05-08,0.0663650594228881,10.695602058743908,10.696345406594506,False
2017-05-09,-6.385632579245283,11.959717617752252,11.960110720398127,False
2017-05-10,-14.358368242229744,11.823341881778022,11.824342528348552,False
2017-05-11,7.180350907840586,12.768802670580904,12.788114451150404,False
2017-05-15,6.697451900020198,11.8805107611739,11.906397750820672,False
2017-05-16,-333.9887422930962,13.0445383889175,13.044842555701225,False
2017-05-17,83.0643092855596,24.99156674035914,25.00297181528418,True
2017-05-18,126.567566251095,15.460881969225508,15.472534986204495,True
2017-05-22,23.083663487289545,13.505031911427462,13.505532027639656,True
2017-05-23,52.31173196117774,14.674349530020516,14.684377313896816,True
2017-05-24,24.28300422874984,12.18141941412995,12.452500413037464,True
2017-05-25,4.817878538032558,12.053097785584654,12.05321276760417,False
2017-05-30,3.937208802876539,14.047205332757692,14.048214648831786,False
